week_end,age_cat,n_onedose,n_2023,n_2024,coverage_onedose,coverage_2023,coverage_2024
2020-12-19,18-29,1425,0,0,0.4,0,0
2020-12-19,30-49,5214,0,0,0.9,0,0
2020-12-19,50-64,4142,0,0,0.9,0,0
2020-12-19,65+,1635,0,0,0.4,0,0
2020-12-26,0-17,1,0,0,0,0,0
2020-12-26,18-29,2687,0,0,0.8,0,0
2020-12-26,30-49,9067,0,0,1.6,0,0
2020-12-26,50-64,7214,0,0,1.5,0,0
2020-12-26,65+,2965,0,0,0.7,0,0
2021-01-02,0-17,19,0,0,0,0,0
2021-01-02,18-29,4535,0,0,1.4,0,0
2021-01-02,30-49,13924,0,0,2.4,0,0
2021-01-02,50-64,11484,0,0,2.4,0,0
2021-01-02,65+,6277,0,0,1.6,0,0
2021-01-09,0-17,56,0,0,0,0,0
2021-01-09,18-29,6546,0,0,2,0,0
2021-01-09,30-49,18928,0,0,3.2,0,0
2021-01-09,50-64,16112,0,0,3.4,0,0
2021-01-09,65+,11292,0,0,2.8,0,0
2021-01-16,0-17,104,0,0,0,0,0
2021-01-16,18-29,9093,0,0,2.8,0,0
2021-01-16,30-49,24994,0,0,4.3,0,0
2021-01-16,50-64,21613,0,0,4.6,0,0
2021-01-16,65+,18394,0,0,4.6,0,0
2021-01-23,0-17,158,0,0,0,0,0
2021-01-23,18-29,11963,0,0,3.7,0,0
2021-01-23,30-49,32156,0,0,5.5,0,0
2021-01-23,50-64,27920,0,0,5.9,0,0
2021-01-23,65+,30551,0,0,7.6,0,0
2021-01-30,0-17,194,0,0,0,0,0
2021-01-30,18-29,15130,0,0,4.6,0,0
2021-01-30,30-49,42032,0,0,7.2,0,0
2021-01-30,50-64,36773,0,0,7.8,0,0
2021-01-30,65+,56605,0,0,14.1,0,0
2021-02-06,0-17,300,0,0,0.1,0,0
2021-02-06,18-29,19249,0,0,5.9,0,0
2021-02-06,30-49,53628,0,0,9.2,0,0
2021-02-06,50-64,47832,0,0,10.2,0,0
2021-02-06,65+,96208,0,0,23.9,0,0
2021-02-13,0-17,338,0,0,0.1,0,0
2021-02-13,18-29,22992,0,0,7.1,0,0
2021-02-13,30-49,65435,0,0,11.2,0,0
2021-02-13,50-64,59984,0,0,12.8,0,0
2021-02-13,65+,137941,0,0,34.3,0,0
2021-02-20,0-17,367,0,0,0.1,0,0
2021-02-20,18-29,26000,0,0,8,0,0
2021-02-20,30-49,74108,0,0,12.7,0,0
2021-02-20,50-64,69101,0,0,14.7,0,0
2021-02-20,65+,164925,0,0,41,0,0
2021-02-27,0-17,431,0,0,0.1,0,0
2021-02-27,18-29,28840,0,0,8.9,0,0
2021-02-27,30-49,82277,0,0,14.1,0,0
2021-02-27,50-64,78565,0,0,16.7,0,0
2021-02-27,65+,192868,0,0,48,0,0
2021-03-06,0-17,506,0,0,0.1,0,0
2021-03-06,18-29,32535,0,0,10,0,0
2021-03-06,30-49,93168,0,0,16,0,0
2021-03-06,50-64,91476,0,0,19.5,0,0
2021-03-06,65+,220542,0,0,54.8,0,0
2021-03-13,0-17,601,0,0,0.1,0,0
2021-03-13,18-29,37834,0,0,11.6,0,0
2021-03-13,30-49,108702,0,0,18.6,0,0
2021-03-13,50-64,111213,0,0,23.7,0,0
2021-03-13,65+,255989,0,0,63.7,0,0
2021-03-20,0-17,829,0,0,0.2,0,0
2021-03-20,18-29,46439,0,0,14.3,0,0
2021-03-20,30-49,131603,0,0,22.6,0,0
2021-03-20,50-64,138668,0,0,29.5,0,0
2021-03-20,65+,289514,0,0,72,0,0
2021-03-27,0-17,1193,0,0,0.2,0,0
2021-03-27,18-29,56374,0,0,17.3,0,0
2021-03-27,30-49,158044,0,0,27.1,0,0
2021-03-27,50-64,171505,0,0,36.5,0,0
2021-03-27,65+,312597,0,0,77.7,0,0
2021-04-03,0-17,2063,0,0,0.4,0,0
2021-04-03,18-29,72236,0,0,22.2,0,0
2021-04-03,30-49,195757,0,0,33.6,0,0
2021-04-03,50-64,208759,0,0,44.5,0,0
2021-04-03,65+,331164,0,0,82.3,0,0
2021-04-10,0-17,3213,0,0,0.6,0,0
2021-04-10,18-29,90284,0,0,27.7,0,0
2021-04-10,30-49,231755,0,0,39.7,0,0
2021-04-10,50-64,240668,0,0,51.3,0,0
