week_end,district,n_onedose,n_2024,n_2025,coverage_onedose,coverage_2024,coverage_2025
2020-12-19,North,6752,0,0,0.7,0,0
2020-12-19,West,2191,0,0,0.4,0,0
2020-12-19,Southwest,2194,0,0,0.6,0,0
2020-12-19,South,1327,0,0,0.3,0,0
2020-12-26,North,10954,0,0,1.1,0,0
2020-12-26,West,4374,0,0,0.9,0,0
2020-12-26,Southwest,3910,0,0,1,0,0
2020-12-26,South,2778,0,0,0.6,0,0
2021-01-02,North,17039,0,0,1.8,0,0
2021-01-02,West,7913,0,0,1.5,0,0
2021-01-02,Southwest,6740,0,0,1.8,0,0
2021-01-02,South,4749,0,0,1.1,0,0
2021-01-09,North,26365,0,0,2.7,0,0
2021-01-09,West,10973,0,0,2.1,0,0
2021-01-09,Southwest,9113,0,0,2.4,0,0
2021-01-09,South,6849,0,0,1.5,0,0
2021-01-16,North,37228,0,0,3.9,0,0
2021-01-16,West,15571,0,0,3,0,0
2021-01-16,Southwest,12554,0,0,3.4,0,0
2021-01-16,South,9835,0,0,2.2,0,0
2021-01-23,North,50685,0,0,5.3,0,0
2021-01-23,West,22017,0,0,4.3,0,0
2021-01-23,Southwest,17677,0,0,4.7,0,0
2021-01-23,South,14536,0,0,3.3,0,0
2021-01-30,North,72502,0,0,7.5,0,0
2021-01-30,West,30816,0,0,6,0,0
2021-01-30,Southwest,26927,0,0,7.2,0,0
2021-01-30,South,23506,0,0,5.3,0,0
2021-02-06,North,103491,0,0,10.8,0,0
2021-02-06,West,44675,0,0,8.7,0,0
2021-02-06,Southwest,38030,0,0,10.2,0,0
2021-02-06,South,34553,0,0,7.8,0,0
2021-02-13,North,138605,0,0,14.4,0,0
2021-02-13,West,58701,0,0,11.5,0,0
2021-02-13,Southwest,48402,0,0,13,0,0
2021-02-13,South,45116,0,0,10.2,0,0
2021-02-20,North,163594,0,0,17,0,0
2021-02-20,West,67118,0,0,13.1,0,0
2021-02-20,Southwest,55906,0,0,15,0,0
2021-02-20,South,52300,0,0,11.8,0,0
2021-02-27,North,187102,0,0,19.5,0,0
2021-02-27,West,78112,0,0,15.3,0,0
2021-02-27,Southwest,62606,0,0,16.8,0,0
2021-02-27,South,60316,0,0,13.6,0,0
2021-03-06,North,213796,0,0,22.3,0,0
2021-03-06,West,90150,0,0,17.6,0,0
2021-03-06,Southwest,71020,0,0,19,0,0
2021-03-06,South,69517,0,0,15.7,0,0
2021-03-13,North,250117,0,0,26,0,0
2021-03-13,West,107233,0,0,21,0,0
2021-03-13,Southwest,80920,0,0,21.7,0,0
2021-03-13,South,83393,0,0,18.8,0,0
2021-03-20,North,296369,0,0,30.8,0,0
2021-03-20,West,128395,0,0,25.1,0,0
2021-03-20,Southwest,93195,0,0,24.9,0,0
2021-03-20,South,97603,0,0,22,0,0
2021-03-27,North,341678,0,0,35.6,0,0
2021-03-27,West,151287,0,0,29.6,0,0
2021-03-27,Southwest,105390,0,0,28.2,0,0
2021-03-27,South,110766,0,0,25,0,0
2021-04-03,North,394957,0,0,41.1,0,0
2021-04-03,West,177846,0,0,34.8,0,0
2021-04-03,Southwest,119863,0,0,32.1,0,0
2021-04-03,South,127605,0,0,28.8,0,0
2021-04-10,North,441471,0,0,45.9,0,0
2021-04-10,West,200795,0,0,39.3,0,0
2021-04-10,Southwest,134814,0,0,36.1,0,0
2021-04-10,South,145064,0,0,32.7,0,0
2021-04-17,North,486470,0,0,50.6,0,0
2021-04-17,West,220602,0,0,43.2,0,0
2021-04-17,Southwest,149101,0,0,39.9,0,0
2021-04-17,South,160187,0,0,36.2,0,0
2021-04-24,North,519687,0,0,54.1,0,0
2021-04-24,West,236204,0,0,46.2,0,0
2021-04-24,Southwest,159349,0,0,42.7,0,0
2021-04-24,South,172041,0,0,38.8,0,0
2021-05-01,North,547408,0,0,57,0,0
2021-05-01,West,249133,0,0,48.7,0,0
2021-05-01,Southwest,166181,0,0,44.5,0,0
2021-05-01,South,179165,0,0,40.4,0,0
2021-05-08,North,564118,0,0,58.7,0,0
2021-05-08,West,259445,0,0,50.8,0,0
2021-05-08,Southwest,171285,0,0,45.9,0,0
2021-05-08,South,185222,0,0,41.8,0,0
2021-05-15,North,583964,0,0,60.8,0,0
2021-05-15,West,270340,0,0,52.9,0,0
2021-05-15,Southwest,176902,0,0,47.4,0,0
2021-05-15,South,192698,0,0,43.5,0,0
2021-05-22,North,609095,0,0,63.4,0,0
2021-05-22,West,283231,0,0,55.4,0,0
2021-05-22,Southwest,184149,0,0,49.3,0,0
2021-05-22,South,200231,0,0,45.2,0,0
2021-05-29,North,623045,0,0,64.8,0,0
2021-05-29,West,290983,0,0,56.9,0,0
2021-05-29,Southwest,188491,0,0,50.5,0,0
2021-05-29,South,205332,0,0,46.4,0,0
2021-06-05,North,633470,0,0,65.9,0,0
2021-06-05,West,296129,0,0,57.9,0,0
2021-06-05,Southwest,191909,0,0,51.4,0,0
2021-06-05,South,209691,0,0,47.3,0,0
2021-06-12,North,641237,0,0,66.7,0,0
2021-06-12,West,301221,0,0,58.9,0,0
2021-06-12,Southwest,194930,0,0,52.2,0,0
2021-06-12,South,213503,0,0,48.2,0,0
2021-06-19,North,647614,0,0,67.4,0,0
2021-06-19,West,305312,0,0,59.7,0,0
2021-06-19,Southwest,197321,0,0,52.8,0,0
2021-06-19,South,216431,0,0,48.9,0,0
2021-06-26,North,652614,0,0,67.9,0,0
2021-06-26,West,308149,0,0,60.3,0,0
2021-06-26,Southwest,199188,0,0,53.3,0,0
2021-06-26,South,218827,0,0,49.4,0,0
2021-07-03,North,658202,0,0,68.5,0,0
2021-07-03,West,311479,0,0,60.9,0,0
2021-07-03,Southwest,201363,0,0,53.9,0,0
2021-07-03,South,221674,0,0,50,0,0
2021-07-10,North,662302,0,0,68.9,0,0
2021-07-10,West,314017,0,0,61.4,0,0
2021-07-10,Southwest,202956,0,0,54.3,0,0
2021-07-10,South,223797,0,0,50.5,0,0
2021-07-17,North,667570,0,0,69.5,0,0
2021-07-17,West,317337,0,0,62.1,0,0
2021-07-17,Southwest,205211,0,0,54.9,0,0
2021-07-17,South,226598,0,0,51.2,0,0
2021-07-24,North,673120,0,0,70.1,0,0
2021-07-24,West,320970,0,0,62.8,0,0
2021-07-24,Southwest,207704,0,0,55.6,0,0
2021-07-24,South,229931,0,0,51.9,0,0
2021-07-31,North,678518,0,0,70.6,0,0
2021-07-31,West,324638,0,0,63.5,0,0
2021-07-31,Southwest,210253,0,0,56.3,0,0
2021-07-31,South,233434,0,0,52.7,0,0
2021-08-07,North,684390,0,0,71.2,0,0
2021-08-07,West,328804,0,0,64.3,0,0
2021-08-07,Southwest,213279,0,0,57.1,0,0
2021-08-07,South,237548,0,0,53.6,0,0
2021-08-14,North,689742,0,0,71.8,0,0
2021-08-14,West,332609,0,0,65.1,0,0
2021-08-14,Southwest,216004,0,0,57.8,0,0
2021-08-14,South,241145,0,0,54.4,0,0
2021-08-21,North,694921,0,0,72.3,0,0
2021-08-21,West,335998,0,0,65.7,0,0
2021-08-21,Southwest,218399,0,0,58.5,0,0
2021-08-21,South,244626,0,0,55.2,0,0
2021-08-28,North,699928,0,0,72.8,0,0
2021-08-28,West,339309,0,0,66.4,0,0
2021-08-28,Southwest,221021,0,0,59.2,0,0
2021-08-28,South,247937,0,0,56,0,0
2021-09-04,North,704931,0,0,73.4,0,0
2021-09-04,West,342576,0,0,67,0,0
2021-09-04,Southwest,223909,0,0,59.9,0,0
2021-09-04,South,251649,0,0,56.8,0,0
2021-09-11,North,708322,0,0,73.7,0,0
2021-09-11,West,344968,0,0,67.5,0,0
2021-09-11,Southwest,225833,0,0,60.5,0,0
2021-09-11,South,254255,0,0,57.4,0,0
2021-09-18,North,711661,0,0,74.1,0,0
2021-09-18,West,347258,0,0,67.9,0,0
2021-09-18,Southwest,227657,0,0,60.9,0,0
2021-09-18,South,257047,0,0,58,0,0
2021-09-25,North,714912,0,0,74.4,0,0
2021-09-25,West,349412,0,0,68.4,0,0
2021-09-25,Southwest,229236,0,0,61.4,0,0
2021-09-25,South,259338,0,0,58.5,0,0
2021-10-02,North,719068,0,0,74.8,0,0
2021-10-02,West,351782,0,0,68.8,0,0
2021-10-02,Southwest,230935,0,0,61.8,0,0
2021-10-02,South,261922,0,0,59.1,0,0
2021-10-09,North,723095,0,0,75.3,0,0
2021-10-09,West,353948,0,0,69.3,0,0
2021-10-09,Southwest,232512,0,0,62.2,0,0
2021-10-09,South,264260,0,0,59.7,0,0
2021-10-16,North,726826,0,0,75.6,0,0
2021-10-16,West,355946,0,0,69.6,0,0
2021-10-16,Southwest,233881,0,0,62.6,0,0
2021-10-16,South,266387,0,0,60.1,0,0
2021-10-23,North,731229,0,0,76.1,0,0
2021-10-23,West,358068,0,0,70.1,0,0
2021-10-23,Southwest,235287,0,0,63,0,0
2021-10-23,South,268402,0,0,60.6,0,0
2021-10-30,North,737382,0,0,76.7,0,0
2021-10-30,West,360811,0,0,70.6,0,0
2021-10-30,Southwest,237154,0,0,63.5,0,0
2021-10-30,South,270869,0,0,61.2,0,0
2021-11-06,North,744767,0,0,77.5,0,0
2021-11-06,West,363819,0,0,71.2,0,0
2021-11-06,Southwest,239286,0,0,64.1,0,0
2021-11-06,South,273250,0,0,61.7,0,0
2021-11-13,North,760002,0,0,79.1,0,0
2021-11-13,West,370633,0,0,72.5,0,0
2021-11-13,Southwest,242320,0,0,64.9,0,0
2021-11-13,South,276842,0,0,62.5,0,0
2021-11-20,North,773317,0,0,80.5,0,0
2021-11-20,West,375970,0,0,73.6,0,0
2021-11-20,Southwest,245569,0,0,65.7,0,0
2021-11-20,South,280514,0,0,63.3,0,0
2021-11-27,North,782893,0,0,81.5,0,0
2021-11-27,West,379763,0,0,74.3,0,0
2021-11-27,Southwest,248028,0,0,66.4,0,0
2021-11-27,South,283384,0,0,64,0,0
2021-12-04,North,794999,0,0,82.7,0,0
2021-12-04,West,384744,0,0,75.3,0,0
2021-12-04,Southwest,251019,0,0,67.2,0,0
2021-12-04,South,287298,0,0,64.9,0,0
2021-12-11,North,805852,0,0,83.9,0,0
2021-12-11,West,389592,0,0,76.2,0,0
2021-12-11,Southwest,253888,0,0,68,0,0
2021-12-11,South,291159,0,0,65.7,0,0
2021-12-18,North,816176,0,0,84.9,0,0
2021-12-18,West,394207,0,0,77.1,0,0
2021-12-18,Southwest,256686,0,0,68.7,0,0
2021-12-18,South,294625,0,0,66.5,0,0
2021-12-25,North,824927,0,0,85.9,0,0
2021-12-25,West,398060,0,0,77.9,0,0
2021-12-25,Southwest,259157,0,0,69.4,0,0
2021-12-25,South,297669,0,0,67.2,0,0
2022-01-01,North,833196,0,0,86.7,0,0
2022-01-01,West,402342,0,0,78.7,0,0
2022-01-01,Southwest,261799,0,0,70.1,0,0
2022-01-01,South,300906,0,0,67.9,0,0
2022-01-08,North,843301,0,0,87.8,0,0
2022-01-08,West,408916,0,0,80,0,0
2022-01-08,Southwest,265448,0,0,71.1,0,0
2022-01-08,South,305460,0,0,69,0,0
2022-01-15,North,852657,0,0,88.7,0,0
2022-01-15,West,415012,0,0,81.2,0,0
2022-01-15,Southwest,268636,0,0,71.9,0,0
2022-01-15,South,309891,0,0,70,0,0
2022-01-22,North,859887,0,0,89.5,0,0
2022-01-22,West,419870,0,0,82.2,0,0
2022-01-22,Southwest,271293,0,0,72.6,0,0
2022-01-22,South,313385,0,0,70.7,0,0
2022-01-29,North,865038,0,0,90,0,0
2022-01-29,West,423236,0,0,82.8,0,0
2022-01-29,Southwest,273323,0,0,73.2,0,0
2022-01-29,South,315988,0,0,71.3,0,0
2022-02-05,North,868644,0,0,>90,0,0
2022-02-05,West,425529,0,0,83.3,0,0
2022-02-05,Southwest,274820,0,0,73.6,0,0
2022-02-05,South,317977,0,0,71.8,0,0
2022-02-12,North,871416,0,0,>90,0,0
2022-02-12,West,427867,0,0,83.7,0,0
2022-02-12,Southwest,276037,0,0,73.9,0,0
2022-02-12,South,320018,0,0,72.2,0,0
2022-02-19,North,873232,0,0,>90,0,0
2022-02-19,West,429196,0,0,84,0,0
2022-02-19,Southwest,276708,0,0,74.1,0,0
2022-02-19,South,321310,0,0,72.5,0,0
2022-02-26,North,874866,0,0,>90,0,0
2022-02-26,West,430570,0,0,84.2,0,0
2022-02-26,Southwest,277369,0,0,74.3,0,0
2022-02-26,South,322437,0,0,72.8,0,0
2022-03-05,North,876101,0,0,>90,0,0
2022-03-05,West,431488,0,0,84.4,0,0
2022-03-05,Southwest,277880,0,0,74.4,0,0
2022-03-05,South,323275,0,0,73,0,0
2022-03-12,North,876923,0,0,>90,0,0
2022-03-12,West,432126,0,0,84.6,0,0
2022-03-12,Southwest,278216,0,0,74.5,0,0
2022-03-12,South,323897,0,0,73.1,0,0
2022-03-19,North,877801,0,0,>90,0,0
2022-03-19,West,432696,0,0,84.7,0,0
2022-03-19,Southwest,278527,0,0,74.6,0,0
2022-03-19,South,324485,0,0,73.3,0,0
2022-03-26,North,878556,0,0,>90,0,0
2022-03-26,West,433121,0,0,84.7,0,0
2022-03-26,Southwest,278824,0,0,74.6,0,0
2022-03-26,South,324921,0,0,73.4,0,0
2022-04-02,North,879432,0,0,>90,0,0
2022-04-02,West,433589,0,0,84.8,0,0
2022-04-02,Southwest,279103,0,0,74.7,0,0
2022-04-02,South,325440,0,0,73.5,0,0
2022-04-09,North,880512,0,0,>90,0,0
2022-04-09,West,434120,0,0,84.9,0,0
2022-04-09,Southwest,279378,0,0,74.8,0,0
2022-04-09,South,325900,0,0,73.6,0,0
2022-04-16,North,881680,0,0,>90,0,0
2022-04-16,West,434594,0,0,85,0,0
2022-04-16,Southwest,279698,0,0,74.9,0,0
2022-04-16,South,326317,0,0,73.7,0,0
2022-04-23,North,882654,0,0,>90,0,0
2022-04-23,West,435067,0,0,85.1,0,0
2022-04-23,Southwest,279981,0,0,75,0,0
2022-04-23,South,326774,0,0,73.8,0,0
2022-04-30,North,883529,0,0,>90,0,0
2022-04-30,West,435517,0,0,85.2,0,0
2022-04-30,Southwest,280265,0,0,75,0,0
2022-04-30,South,327166,0,0,73.9,0,0
2022-05-07,North,884235,0,0,>90,0,0
2022-05-07,West,435889,0,0,85.3,0,0
2022-05-07,Southwest,280491,0,0,75.1,0,0
2022-05-07,South,327534,0,0,73.9,0,0
2022-05-14,North,885095,0,0,>90,0,0
2022-05-14,West,436344,0,0,85.4,0,0
2022-05-14,Southwest,280804,0,0,75.2,0,0
2022-05-14,South,327907,0,0,74,0,0
2022-05-21,North,886078,0,0,>90,0,0
2022-05-21,West,436833,0,0,85.5,0,0
2022-05-21,Southwest,281083,0,0,75.3,0,0
2022-05-21,South,328346,0,0,74.1,0,0
2022-05-28,North,887216,0,0,>90,0,0
2022-05-28,West,437357,0,0,85.6,0,0
2022-05-28,Southwest,281358,0,0,75.3,0,0
2022-05-28,South,328788,0,0,74.2,0,0
2022-06-04,North,888079,0,0,>90,0,0
