week_end,race_eth,n_onedose,n_2023,n_2024,coverage_onedose,coverage_2023,coverage_2024
2020-12-19,Hispanic/Latino,682,0,0,0.1,0,0
2020-12-19,Non-Hispanic Asian,1630,0,0,0.9,0,0
2020-12-19,Non-Hispanic Black,515,0,0,0.1,0,0
2020-12-19,Non-Hispanic Other,1897,0,0,2.9,0,0
2020-12-19,Non-Hispanic White,6756,0,0,0.6,0,0
2020-12-26,Hispanic/Latino,1285,0,0,0.2,0,0
2020-12-26,Non-Hispanic Asian,2851,0,0,1.5,0,0
2020-12-26,Non-Hispanic Black,1275,0,0,0.3,0,0
2020-12-26,Non-Hispanic Other,3405,0,0,5.2,0,0
2020-12-26,Non-Hispanic White,11456,0,0,1,0,0
2021-01-02,Hispanic/Latino,2814,0,0,0.5,0,0
2021-01-02,Non-Hispanic Asian,4356,0,0,2.3,0,0
2021-01-02,Non-Hispanic Black,2594,0,0,0.7,0,0
2021-01-02,Non-Hispanic Other,5819,0,0,8.9,0,0
2021-01-02,Non-Hispanic White,18035,0,0,1.6,0,0
2021-01-09,Hispanic/Latino,4804,0,0,0.9,0,0
2021-01-09,Non-Hispanic Asian,6199,0,0,3.3,0,0
2021-01-09,Non-Hispanic Black,4125,0,0,1.1,0,0
2021-01-09,Non-Hispanic Other,8642,0,0,13.3,0,0
2021-01-09,Non-Hispanic White,24883,0,0,2.2,0,0
2021-01-16,Hispanic/Latino,6519,0,0,1.2,0,0
2021-01-16,Non-Hispanic Asian,8134,0,0,4.3,0,0
2021-01-16,Non-Hispanic Black,5957,0,0,1.6,0,0
2021-01-16,Non-Hispanic Other,12354,0,0,18.9,0,0
2021-01-16,Non-Hispanic White,35103,0,0,3.1,0,0
2021-01-23,Hispanic/Latino,9035,0,0,1.7,0,0
2021-01-23,Non-Hispanic Asian,10300,0,0,5.5,0,0
2021-01-23,Non-Hispanic Black,8314,0,0,2.3,0,0
2021-01-23,Non-Hispanic Other,17743,0,0,27.2,0,0
2021-01-23,Non-Hispanic White,49918,0,0,4.4,0,0
2021-01-30,Hispanic/Latino,12559,0,0,2.4,0,0
2021-01-30,Non-Hispanic Asian,13163,0,0,7,0,0
2021-01-30,Non-Hispanic Black,12208,0,0,3.3,0,0
2021-01-30,Non-Hispanic Other,27111,0,0,41.6,0,0
2021-01-30,Non-Hispanic White,76863,0,0,6.7,0,0
2021-02-06,Hispanic/Latino,17979,0,0,3.4,0,0
