week_end,n_onedose,n_2024,n_2025,coverage_onedose,coverage_2024,coverage_2025
2020-12-19,12143,0,0,0.5,0.0,0.0
2020-12-26,21515,0,0,0.9,0.0,0.0
2021-01-02,35567,0,0,1.6,0.0,0.0
2021-01-09,51889,0,0,2.3,0.0,0.0
2021-01-16,73141,0,0,3.2,0.0,0.0
2021-01-23,101809,0,0,4.5,0.0,0.0
2021-01-30,148787,0,0,6.5,0.0,0.0
2021-02-06,213241,0,0,9.3,0.0,0.0
2021-02-13,280539,0,0,12.3,0.0,0.0
2021-02-20,327010,0,0,14.3,0.0,0.0
2021-02-27,374503,0,0,16.4,0.0,0.0
2021-03-06,428973,0,0,18.8,0.0,0.0
2021-03-13,503563,0,0,22.0,0.0,0.0
2021-03-20,594384,0,0,26.0,0.0,0.0
2021-03-27,684919,0,0,29.9,0.0,0.0
2021-04-03,792825,0,0,34.7,0.0,0.0
2021-04-10,891781,0,0,39.0,0.0,0.0
2021-04-17,983655,0,0,43.0,0.0,0.0
2021-04-24,1053245,0,0,46.1,0.0,0.0
2021-05-01,1106947,0,0,48.4,0.0,0.0
2021-05-08,1144431,0,0,50.0,0.0,0.0
2021-05-15,1187387,0,0,51.9,0.0,0.0
2021-05-22,1239273,0,0,54.2,0.0,0.0
2021-05-29,1270032,0,0,55.5,0.0,0.0
2021-06-05,1293054,0,0,56.5,0.0,0.0
2021-06-12,1312526,0,0,57.4,0.0,0.0
2021-06-19,1328107,0,0,58.1,0.0,0.0
2021-06-26,1340014,0,0,58.6,0.0,0.0
2021-07-03,1353752,0,0,59.2,0.0,0.0
2021-07-10,1363998,0,0,59.6,0.0,0.0
2021-07-17,1377492,0,0,60.2,0.0,0.0
2021-07-24,1392364,0,0,60.9,0.0,0.0
2021-07-31,1407354,0,0,61.5,0.0,0.0
2021-08-07,1424360,0,0,62.3,0.0,0.0
2021-08-14,1439635,0,0,62.9,0.0,0.0
2021-08-21,1453900,0,0,63.6,0.0,0.0
2021-08-28,1467978,0,0,64.2,0.0,0.0
2021-09-04,1482674,0,0,64.8,0.0,0.0
2021-09-11,1492855,0,0,65.3,0.0,0.0
2021-09-18,1502984,0,0,65.7,0.0,0.0
2021-09-25,1512042,0,0,66.1,0.0,0.0
2021-10-02,1522344,0,0,66.6,0.0,0.0
2021-10-09,1532003,0,0,67.0,0.0,0.0
2021-10-16,1540780,0,0,67.4,0.0,0.0
2021-10-23,1550229,0,0,67.8,0.0,0.0
2021-10-30,1562471,0,0,68.3,0.0,0.0
2021-11-06,1576560,0,0,68.9,0.0,0.0
2021-11-13,1603672,0,0,70.1,0.0,0.0
2021-11-20,1627997,0,0,71.2,0.0,0.0
2021-11-27,1645727,0,0,72.0,0.0,0.0
2021-12-04,1668867,0,0,73.0,0.0,0.0
2021-12-11,1690467,0,0,73.9,0.0,0.0
2021-12-18,1710953,0,0,74.8,0.0,0.0
2021-12-25,1728482,0,0,75.6,0.0,0.0
2022-01-01,1746425,0,0,76.4,0.0,0.0
2022-01-08,1770845,0,0,77.4,0.0,0.0
2022-01-15,1793465,0,0,78.4,0.0,0.0
2022-01-22,1811317,0,0,79.2,0.0,0.0
2022-01-29,1824223,0,0,79.8,0.0,0.0
2022-02-05,1833455,0,0,80.2,0.0,0.0
2022-02-12,1841675,0,0,80.5,0.0,0.0
2022-02-19,1846682,0,0,80.7,0.0,0.0
2022-02-26,1851392,0,0,80.9,0.0,0.0
2022-03-05,1854806,0,0,81.1,0.0,0.0
2022-03-12,1857178,0,0,81.2,0.0,0.0
2022-03-19,1859470,0,0,81.3,0.0,0.0
2022-03-26,1861360,0,0,81.4,0.0,0.0
2022-04-02,1863387,0,0,81.5,0.0,0.0
2022-04-09,1865536,0,0,81.6,0.0,0.0
2022-04-16,1867721,0,0,81.7,0.0,0.0
2022-04-23,1869748,0,0,81.8,0.0,0.0
2022-04-30,1871632,0,0,81.8,0.0,0.0
2022-05-07,1873215,0,0,81.9,0.0,0.0
2022-05-14,1875084,0,0,82.0,0.0,0.0
2022-05-21,1877142,0,0,82.1,0.0,0.0
2022-05-28,1879385,0,0,82.2,0.0,0.0
2022-06-04,1881128,0,0,82.2,0.0,0.0
2022-06-11,1882841,0,0,82.3,0.0,0.0
2022-06-18,1884388,0,0,82.4,0.0,0.0
2022-06-25,1886929,0,0,82.5,0.0,0.0
2022-07-02,1890236,0,0,82.6,0.0,0.0
2022-07-09,1892974,0,0,82.8,0.0,0.0
2022-07-16,1896052,0,0,82.9,0.0,0.0
2022-07-23,1899178,0,0,83.0,0.0,0.0
2022-07-30,1902114,0,0,83.2,0.0,0.0
2022-08-06,1904909,0,0,83.3,0.0,0.0
2022-08-13,1907495,0,0,83.4,0.0,0.0
2022-08-20,1909782,0,0,83.5,0.0,0.0
2022-08-27,1911628,0,0,83.6,0.0,0.0
2022-09-03,1913092,0,0,83.6,0.0,0.0
2022-09-10,1915130,0,0,83.7,0.0,0.0
2022-09-17,1917817,0,0,83.9,0.0,0.0
2022-09-24,1920614,0,0,84.0,0.0,0.0
2022-10-01,1923728,0,0,84.1,0.0,0.0
2022-10-08,1926815,0,0,84.2,0.0,0.0
2022-10-15,1929787,0,0,84.4,0.0,0.0
2022-10-22,1932888,0,0,84.5,0.0,0.0
2022-10-29,1935952,0,0,84.6,0.0,0.0
2022-11-05,1938666,0,0,84.8,0.0,0.0
2022-11-12,1941270,0,0,84.9,0.0,0.0
2022-11-19,1943640,0,0,85.0,0.0,0.0
2022-11-26,1944565,0,0,85.0,0.0,0.0
2022-12-03,1946358,0,0,85.1,0.0,0.0
2022-12-10,1948145,0,0,85.2,0.0,0.0
2022-12-17,1949924,0,0,85.3,0.0,0.0
2022-12-24,1951256,0,0,85.3,0.0,0.0
2022-12-31,1952557,0,0,85.4,0.0,0.0
2023-01-07,1953796,0,0,85.4,0.0,0.0
2023-01-14,1954968,0,0,85.5,0.0,0.0
2023-01-21,1955813,0,0,85.5,0.0,0.0
2023-01-28,1956571,0,0,85.5,0.0,0.0
2023-02-04,1957312,0,0,85.6,0.0,0.0
2023-02-11,1958041,0,0,85.6,0.0,0.0
2023-02-18,1958545,0,0,85.6,0.0,0.0
2023-02-25,1959043,0,0,85.7,0.0,0.0
2023-03-04,1959505,0,0,85.7,0.0,0.0
2023-03-11,1960094,0,0,85.7,0.0,0.0
2023-03-18,1960599,0,0,85.7,0.0,0.0
2023-03-25,1961054,0,0,85.7,0.0,0.0
2023-04-01,1961464,0,0,85.8,0.0,0.0
2023-04-08,1961859,0,0,85.8,0.0,0.0
2023-04-15,1962252,0,0,85.8,0.0,0.0
2023-04-22,1962644,0,0,85.8,0.0,0.0
2023-04-29,1963011,0,0,85.8,0.0,0.0
2023-05-06,1963379,0,0,85.8,0.0,0.0
2023-05-13,1963712,0,0,85.9,0.0,0.0
2023-05-20,1964084,0,0,85.9,0.0,0.0
2023-05-27,1964408,0,0,85.9,0.0,0.0
2023-06-03,1964649,0,0,85.9,0.0,0.0
2023-06-10,1964929,0,0,85.9,0.0,0.0
2023-06-17,1965204,0,0,85.9,0.0,0.0
2023-06-24,1965494,0,0,85.9,0.0,0.0
2023-07-01,1965766,0,0,85.9,0.0,0.0
2023-07-08,1965989,0,0,86.0,0.0,0.0
2023-07-15,1966211,0,0,86.0,0.0,0.0
2023-07-22,1966459,0,0,86.0,0.0,0.0
2023-07-29,1966706,0,0,86.0,0.0,0.0
2023-08-05,1966976,0,0,86.0,0.0,0.0
2023-08-12,1967231,0,0,86.0,0.0,0.0
2023-08-19,1967501,0,0,86.0,0.0,0.0
2023-08-26,1967761,0,0,86.0,0.0,0.0
2023-09-02,1968002,0,0,86.0,0.0,0.0
2023-09-09,1968237,0,0,86.1,0.0,0.0
2023-09-16,1968383,0,0,86.1,0.0,0.0
2023-09-23,1969467,0,0,86.1,0.0,0.0
2023-09-30,1970933,0,0,86.2,0.0,0.0
2023-10-07,1972772,0,0,86.3,0.0,0.0
2023-10-14,1974626,0,0,86.3,0.0,0.0
2023-10-21,1976468,0,0,86.4,0.0,0.0
2023-10-28,1978073,0,0,86.5,0.0,0.0
2023-11-04,1979584,0,0,86.6,0.0,0.0
2023-11-11,1981053,0,0,86.6,0.0,0.0
2023-11-18,1982482,0,0,86.7,0.0,0.0
2023-11-25,1983361,0,0,86.7,0.0,0.0
2023-12-02,1984472,0,0,86.8,0.0,0.0
2023-12-09,1985577,0,0,86.8,0.0,0.0
2023-12-16,1986586,0,0,86.9,0.0,0.0
2023-12-23,1987619,0,0,86.9,0.0,0.0
2023-12-30,1988300,0,0,86.9,0.0,0.0
2024-01-06,1988982,0,0,87.0,0.0,0.0
2024-01-13,1989620,0,0,87.0,0.0,0.0
2024-01-20,1990212,0,0,87.0,0.0,0.0
2024-01-27,1990761,0,0,87.0,0.0,0.0
2024-02-03,1991322,0,0,87.1,0.0,0.0
2024-02-10,1991730,0,0,87.1,0.0,0.0
2024-02-17,1992094,0,0,87.1,0.0,0.0
2024-02-24,1992439,0,0,87.1,0.0,0.0
2024-03-02,1992773,0,0,87.1,0.0,0.0
2024-03-09,1993119,0,0,87.1,0.0,0.0
2024-03-16,1993410,0,0,87.2,0.0,0.0
2024-03-23,1993718,0,0,87.2,0.0,0.0
2024-03-30,1993990,0,0,87.2,0.0,0.0
2024-04-06,1994272,0,0,87.2,0.0,0.0
2024-04-13,1994514,0,0,87.2,0.0,0.0
2024-04-20,1994798,0,0,87.2,0.0,0.0
2024-04-27,1995059,0,0,87.2,0.0,0.0
2024-05-04,1995291,0,0,87.2,0.0,0.0
2024-05-11,1995495,0,0,87.2,0.0,0.0
2024-05-18,1995691,0,0,87.3,0.0,0.0
2024-05-25,1995885,0,0,87.3,0.0,0.0
2024-06-01,1996032,0,0,87.3,0.0,0.0
2024-06-08,1996204,0,0,87.3,0.0,0.0
2024-06-15,1996410,0,0,87.3,0.0,0.0
2024-06-22,1996553,0,0,87.3,0.0,0.0
2024-06-29,1996696,0,0,87.3,0.0,0.0
2024-07-06,1996825,0,0,87.3,0.0,0.0
2024-07-13,1996955,0,0,87.3,0.0,0.0
2024-07-20,1997058,0,0,87.3,0.0,0.0
2024-07-27,1997152,0,0,87.3,0.0,0.0
2024-08-03,1997221,0,0,87.3,0.0,0.0
2024-08-10,1997315,0,0,87.3,0.0,0.0
2024-08-17,1997404,0,0,87.3,0.0,0.0
2024-08-24,1997499,15,0,87.3,0.0,0.0
2024-08-31,1997812,5803,0,87.4,0.3,0.0
2024-09-07,1998512,20008,0,87.4,0.9,0.0
2024-09-14,1999394,38287,0,87.4,1.7,0.0
2024-09-21,2000484,59406,0,87.5,2.6,0.0
